number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
65,0.7848293709592331,2026-04-16 13:55:34.054166,2026-04-16 13:55:34.641926,0 days 00:00:00.587760,0.8602410527548788,3.4153508399694803,depthwise,0.03797068935144873,1,1.4613287446570307,1950,0.0028384109469017735,0.0068792005683931965,0.7349346655231306,hist,COMPLETE
66,0.7853260419025487,2026-04-16 13:55:34.642075,2026-04-16 13:55:35.238720,0 days 00:00:00.596645,0.8433124780885055,3.781372691176376,depthwise,0.03573689147735442,1,1.0139979624766613,1950,0.0029080827742456556,0.006603045393106128,0.7338336563311447,hist,COMPLETE
67,0.7806549544470307,2026-04-16 13:55:35.238870,2026-04-16 13:55:35.830429,0 days 00:00:00.591559,0.8432734574979738,3.896398708378136,depthwise,0.03528435230349476,1,1.0343516245050393,1925,0.0033360144911989244,0.006651100420073393,0.732864921647733,hist,COMPLETE
68,0.777646254444103,2026-04-16 13:55:35.830589,2026-04-16 13:55:36.458287,0 days 00:00:00.627698,0.842762061320262,4.015586357885941,depthwise,0.03403578970013466,2,1.0176873188851558,1950,0.003811921995788914,0.006442249456185136,0.73050762979824,hist,COMPLETE
69,0.7804830094701813,2026-04-16 13:55:36.458435,2026-04-16 13:55:36.968221,0 days 00:00:00.509786,0.8438259635989848,3.4153283633234626,depthwise,0.038828361591465445,1,1.6441059480871305,1700,0.0010122205962105149,0.03796504114842874,0.7346577419879393,hist,COMPLETE
70,0.7771342833005297,2026-04-16 13:55:36.968371,2026-04-16 13:55:37.467524,0 days 00:00:00.499153,0.8424751980499966,3.4166815597006233,depthwise,0.035705853564916123,1,1.6565889529675832,1650,0.009593789250148012,0.0051081754541040135,0.7390021051866569,hist,COMPLETE
71,0.7933577557251091,2026-04-16 13:55:37.467665,2026-04-16 13:55:38.060415,0 days 00:00:00.592750,0.832787414086052,3.818260514906377,depthwise,0.03978692842920899,1,1.2191221653033788,1950,0.005257676640647152,0.033532855137523285,0.7072461175812274,hist,COMPLETE
72,0.7902769385087616,2026-04-16 13:55:38.060579,2026-04-16 13:55:38.604389,0 days 00:00:00.543810,0.8319989002075636,3.8436143725356717,depthwise,0.0486636366684998,1,1.2300581293561388,1750,0.005381701582717929,0.03159942250069299,0.7022189034126409,hist,COMPLETE
73,0.7804361433223578,2026-04-16 13:55:38.604536,2026-04-16 13:55:39.158110,0 days 00:00:00.553574,0.8295312991641295,3.8544000862725007,depthwise,0.041312617822632056,2,1.0184248367633224,1725,0.005588828564590368,0.03767793110932631,0.706465943694399,hist,COMPLETE
74,0.7839827272215781,2026-04-16 13:55:39.158253,2026-04-16 13:55:39.741612,0 days 00:00:00.583359,0.8333499855385287,4.0725640982040385,depthwise,0.04672135748778045,1,1.2584947267186515,1925,0.00527011874484874,0.027989120992190843,0.7398242500466113,hist,COMPLETE
